地区,年份,gdp,jmxfsp,syl
北京,2013,19800.81,33337,1.2
北京,2014,21330.83,36057,1.3
北京,2015,23014.59,39200,1.4
北京,2016,25669.13,48883,1.4
北京,2017,28014.94,52912,1.4
天津,2013,14442.01,26261,3.6
天津,2014,15726.93,28492,3.5
天津,2015,16538.19,32595,3.5
天津,2016,17885.39,36257,3.5
天津,2017,18549.19,38975,3.5
河北,2013,28442.95,11557,3.7
河北,2014,29421.15,12171,3.6
河北,2015,29806.11,12829,3.6
河北,2016,32070.45,14328,3.7
河北,2017,34016.32,15893,3.7
山西,2013,12665.25,12078,3.1
山西,2014,12761.49,12622,3.4
山西,2015,12766.49,14364,3.5
山西,2016,13050.41,15065,3.5
山西,2017,15528.42,18132,3.4
内蒙古,2013,16916.5,17168,3.7
内蒙古,2014,17770.19,19827,3.6
内蒙古,2015,17831.51,20835,3.7
内蒙古,2016,18128.1,22293,3.7
内蒙古,2017,16096.21,23909,3.6
辽宁,2013,27213.22,20156,3.4
辽宁,2014,28626.58,22260,3.4
辽宁,2015,28669.02,23693,3.4
辽宁,2016,22246.9,23670,3.8
辽宁,2017,23409.24,24866,3.8
吉林,2013,13046.4,13676,3.7
吉林,2014,13803.14,13663,3.4
吉林,2015,14063.13,14630,3.5
吉林,2016,14776.8,13786,3.5
吉林,2017,14944.53,15083,3.5
黑龙江,2013,14454.91,12978,4.4
黑龙江,2014,15039.38,15215,4.5
黑龙江,2015,15083.67,16443,4.5
黑龙江,2016,15386.09,17393,4.2
黑龙江,2017,15902.68,18859,4.2
上海,2013,21818.15,39223,4
上海,2014,23567.7,43007,4.1
上海,2015,25123.45,45816,4
上海,2016,28178.65,49617,4.1
上海,2017,30632.99,53617,3.9
江苏,2013,59753.37,23585,3
江苏,2014,65088.32,28316,3
江苏,2015,70116.38,31682,3
江苏,2016,77388.28,35875,3
江苏,2017,85869.76,39796,3
浙江,2013,37756.59,24771,3
浙江,2014,40173.03,26885,3
浙江,2015,42886.49,28712,2.9
浙江,2016,47251.36,30743,2.9
浙江,2017,51768.26,33851,2.7
安徽,2013,19229.34,11618,3.4
安徽,2014,20848.75,12944,3.2
安徽,2015,22005.63,13941,3.1
安徽,2016,24407.62,15466,3.2
安徽,2017,27018,17141,2.9
福建,2013,21868.49,17115,3.6
福建,2014,24055.76,19099,3.5
福建,2015,25979.82,20828,3.7
福建,2016,28810.58,23355,3.9
福建,2017,32182.09,25969,3.9
江西,2013,14410.19,11910,3.2
江西,2014,15714.63,12000,3.3
江西,2015,16723.78,14489,3.4
江西,2016,18499,16040,3.4
江西,2017,20006.31,17290,3.3
山东,2013,55230.32,16728,3.2
山东,2014,59426.59,19184,3.3
山东,2015,63002.33,20684,3.4
山东,2016,68024.49,25860,3.5
山东,2017,72634.15,28353,3.4
河南,2013,32191.3,11782,3.1
河南,2014,34938.24,13078,3
河南,2015,37002.16,14507,3
河南,2016,40471.79,16043,3
河南,2017,44552.83,17842,2.8
湖北,2013,24791.83,13912,3.5
湖北,2014,27379.22,15762,3.1
湖北,2015,29550.19,17429,2.6
湖北,2016,32665.38,19391,2.4
湖北,2017,35478.09,21642,2.6
湖南,2013,24621.67,12920,4.2
湖南,2014,27037.32,14384,4.1
湖南,2015,28902.21,16289,4.1
湖南,2016,31551.37,17490,4.2
湖南,2017,33902.96,19418,4
广东,2013,62474.79,23739,2.4
广东,2014,67809.85,24582,2.4
广东,2015,72812.55,26365,2.5
广东,2016,80854.91,28495,2.5
广东,2017,89705.23,30762,2.5
广西,2013,14449.9,11710,3.3
广西,2014,15672.89,12944,3.2
广西,2015,16803.12,13857,2.9
